# human alphaherpesvirus 1[organism] AND complete genome[Title] (NIH-7.2.33)
7506.56, 7507.68, 7512.35, 7516.11, 7517.18, 7517.42, 7518.54, 7519.13, 7527.87, 7529.39, 
7533.21, 7542.67, 7544.74, 7546.21, 7546.51, 7556.94, 7561.08, 7561.38, 7561.48, 7563.01, 
7563.75, 7564.04, 7564.69, 7566.51, 7568.34, 7568.54, 7571.46, 7574.82, 7577.99, 7578.24, 
7579.98, 7585.88, 7589.11, 7590.55, 7592.84, 7594.44, 7595.73, 7596.48, 7598.97, 7599.27, 
7600.61, 7601.36, 7603.71, 7604.20, 7604.70, 7606.15, 7607.20, 7608.35, 7608.90, 7609.65, 
7609.70, 7610.50, 7610.55, 7611.20, 7611.65, 7615.20, 7617.35, 7617.45, 7618.05, 7618.25, 
7618.30, 7619.46, 7622.21, 7624.07, 7626.93, 7631.95, 7632.36, 7633.11, 7634.57, 7638.95, 
7641.06, 7642.37, 7644.64, 7647.52, 7647.82, 7648.53, 7649.89, 7651.46, 7651.86, 7655.15, 
7655.40, 7656.77, 7657.83, 7658.89, 7658.99, 7660.31, 7660.61, 7661.93, 7662.24, 7662.29, 
7664.26, 7666.14, 7667.31, 7667.76, 7670.20, 7672.03, 7676.96, 7679.60, 7680.72, 7681.28, 
7682.46, 7682.56, 7682.71, 7683.88, 7687.40, 7687.96, 7690.05, 7693.17, 7696.08, 7698.59, 
7698.79, 7701.60, 7704.11, 7704.98, 7705.04, 7705.24, 7705.86, 7706.06, 7706.57, 7708.88, 
7709.86, 7714.94, 7717.46, 7717.66, 7720.18, 7721.88, 7724.92, 7729.04, 7742.83, 7745.16, 
7745.78, 7776.87, 7834.18, 8348.30, 8549.61, 8551.25, 8552.77, 8554.47, 8560.28, 8564.21, 
13364.02, 14035.77, 14565.91, 14688.06, 14787.03, 14817.86, 14823.45, 14847.29, 14885.06, 14901.23, 
14905.07, 14934.75, 14934.94, 14935.42, 14949.39, 14950.45, 14951.23, 14972.38
